Hotel Name,Hotel Address,Hotel Score
신주쿠 그랑벨 호텔,"160-0021 도쿄 도, Shinjuku-ku Kabukicho 2-14-5, 일본",7.8
호텔 그레이서리 신주쿠,"160-0021 도쿄 도, Shinjuku-ku Kabukicho 1-19-1, 일본",8.3
호텔 윙 인터내셔널 프리미엄 도쿄 요츠야,"160-0004 도쿄 도, Shinjuku-ku Yotsuya3-14-1, 일본",8.3
APA 호텔 - 히가시신주쿠 가부키초 히가시,"160-0021 도쿄 도, Shinjuku-ku Kabukicho 2-17-7, 일본",7.7
헌드레드 스테이 도쿄 신주쿠,"169-0073 도쿄 도, Shinjuku-ku, Hyakunin-cho 2-27-7, 일본",8.8
파크 하얏트 도쿄,"163-1055 도쿄 도, Shinjuku-ku, Nishishinjuku 3-7-1-2, 일본",9.2
힐튼 도쿄 호텔,"160-0023 도쿄 도, Shinjuku-ku, Nishishinjuku 6-6-2, 일본",8.3
Hotel Matsunoi,"160-0073 도쿄 도, Shinjuku-ku Hyakunincho 1-7-19 , 일본",8.4
HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,"160-0021 도쿄 도, Shinjuku-ku Kabukicho 2-3-23, 일본",5.1
호텔 엠파이어 인 신주쿠,"169-0073 도쿄 도, Shinjuku-ku, Hyakunin-cho 1-15-33, 일본",6.1
호텔 선라이트 신주쿠,"160-0022 도쿄 도, Shinjuku-ku, Shinjuku 5-15-8, 일본",7.5
