Hotel Name,Hotel Address,Hotel Score,601,602,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
신주쿠 그랑벨 호텔,"""160-0021 도쿄 도", Shinjuku-ku Kabukicho 2-14-5," 일본""",7.8,"""₩131","115""","""₩176","277""",1시간 20분,"JP¥2,750",21분,1시간 3분,"JP¥1,510",8분
호텔 그레이서리 신주쿠,"""160-0021 도쿄 도", Shinjuku-ku Kabukicho 1-19-1," 일본""",8.3,"""₩214","921""","""₩254","796""",1시간 16분,"JP¥2,780",14분,50분,JP¥510,14분
호텔 윙 인터내셔널 프리미엄 도쿄 요츠야,"""160-0004 도쿄 도", Shinjuku-ku Yotsuya3-14-1," 일본""",8.3,"""₩132","366""",0,1시간 17분,"JP¥2,960",8분,43분,JP¥590,11분
La'gent Hotel Shinjuku Kabukicho,"""160-0021 도쿄 도", Shinjuku-ku, Kabuki-cho 2-40-5," 일본""",8.4,"""₩204","633""","""₩251","567""",1시간 12분,"JP¥2,750",13분,51분,JP¥510,13분
APA Hotel Shinjuku Kabukicho Chuo,"""160-0021 도쿄 도", Shinjuku Kabukicho 2-26-5," 일본""",7.7,"""₩128","600""","""₩151","128""",1시간 14분,"JP¥2,780",12분,49분,JP¥510,13분
호텔 로즈 가든 신주쿠,"""160-0023 도쿄 도", Shinjuku-ku, Nishishinjuku 8-1-3," 일본""",7.9,"""₩138","456""","""₩185","390""",1시간 13분,"JP¥2,960",8분,54분,"JP¥1,510",6분
APA 호텔 신주쿠-가부키쵸 타워,"""160-0021 도쿄 도", Shinjuku-ku, Kabukicho 1-20-2," 일본""",,"""₩138","925""",0,1시간 14분,"JP¥2,780",12분,48분,JP¥510,12분
신주쿠 워싱턴 호텔,"""160-8336 도쿄 도", Shinjuku-ku, Nishishinjuku 3-2-9," 일본""",7.1,"""₩167","792""",0,1시간 16분,"JP¥2,780",14분,56분,"JP¥1,520",5분
신주쿠 프린스 호텔,"""160-8487 도쿄 도", Shinjuku-ku, Kabuki-cho 1-30-1," 일본""",7.9,"""₩202","350""","""₩202","350""",1시간 12분,"JP¥2,780",10분,46분,JP¥510,10분
APA 호텔 신주쿠 교에마에,"""160-0022 도쿄 도", Shinjuku-ku Shinjuku 2-2-8," 일본""",7.8,"""₩161","454""","""₩172","718""",1시간 16분,"JP¥2,780",14분,46분,"JP¥1,800",14분
APA Hotel Higashi Shinjuku Kabukicho Tower,"""160-0021 도쿄 도", Shinjuku-ku Kabukicho 2-31-12," 일본""",8.0,"""₩138","925""","""₩161","454""",1시간 12분,"JP¥2,750",13분,51분,JP¥510,13분
HOTEL KABUKI,"""160-0021 도쿄 도", 新宿区歌舞伎町1-16-9," 일본""",8.9,"""₩336","237""",0,1시간 12분,"JP¥2,780",10분,46분,JP¥510,10분
호텔 썬루트 플라자 신주쿠,"""151-0053 도쿄 도", Shibuya-ku, Yoyogi 2-3-1," 일본""",8.3,"""₩321","356""","""₩313","980""",1시간 11분,"JP¥2,780",9분,44분,"JP¥1,300",4분
APA 호텔 & 리조트 니시신주쿠-고초메-에키 타워,"""151-0071 도쿄 도", Shibuya-ku Honmachi 3-14-1," 일본""",8.2,"""₩115","458""","""₩137","987""",1시간 23분,"JP¥2,960",11분,48분,JP¥530,5분
더 낫 도쿄 신주쿠,"""160-0023 도쿄 도", Shinjuku-ku, Nishishinjuku 4-31-1," 일본""",8.4,"""₩236","548""","""₩236","548""",1시간 18분,"JP¥2,780",16분,49분,JP¥530,8분
